task,replicate,a1_run_id,a2_run_id,pair_included,a1_successful,a2_successful,a1_environmental_failure,a2_environmental_failure,success_delta_a1_minus_a2,total_cost_delta_a1_minus_a2,duration_delta_a1_minus_a2,total_tokens_delta_a1_minus_a2,tool_call_delta_a1_minus_a2,task_mgmt_tool_delta_a1_minus_a2,task_tool_delta_a1_minus_a2,a1_failure_mode,a2_failure_mode,a1_total_cost_usd,a2_total_cost_usd,a1_duration_seconds,a2_duration_seconds,a1_total_tokens,a2_total_tokens,a1_total_tool_calls,a2_total_tool_calls,a1_actual_tool_calls,a2_actual_tool_calls,actual_tool_delta_a1_minus_a2,a1_task_mgmt_tool_calls,a2_task_mgmt_tool_calls,a1_task_tool_calls,a2_task_tool_calls,task_family_tool_delta_a1_minus_a2,a1_task_family_tool_calls,a2_task_family_tool_calls,task_create_tool_delta_a1_minus_a2,a1_task_create_tool_calls,a2_task_create_tool_calls,task_update_tool_delta_a1_minus_a2,a1_task_update_tool_calls,a2_task_update_tool_calls,task_list_tool_delta_a1_minus_a2,a1_task_list_tool_calls,a2_task_list_tool_calls,a1_builder_real_success,a2_builder_real_success,builder_success_delta_a1_minus_a2,a1_exploiter_real_success,a2_exploiter_real_success,exploiter_success_delta_a1_minus_a2,a1_fixer_real_success,a2_fixer_real_success,fixer_success_delta_a1_minus_a2,a1_real_pipeline_success,a2_real_pipeline_success,real_pipeline_success_delta_a1_minus_a2,cheat_tool_delta_a1_minus_a2,a1_cheat_tool_calls,a2_cheat_tool_calls,recon_tool_delta_a1_minus_a2,a1_recon_tool_calls,a2_recon_tool_calls,security_tool_delta_a1_minus_a2,a1_security_tool_calls,a2_security_tool_calls
libxls.cve-2023-38855,0,17323249-2a83-4bcc-8628-d0757500fc1d,daa55463-b2b9-47bf-bab7-fb5ea0ec8e54,1,1,1,0,0,0,-0.4621546000000003,-165.5591501670424,-770119,-47,0,0,,,1.54998975,2.0121443500000002,978.0272655000445,1143.5864156670868,2888597,3658716,90,137,90,137,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,3,3,-21,61,82,9,9,0
matio.cve-2019-20017,0,7f197ef2-d0cf-4adb-96c3-49d1577d9dd0,b18ebed6-3c55-4f71-8327-404d6b6291b9,1,1,1,0,0,0,-1.2452223500000006,-536.7599350840319,-2621766,-50,15,0,,,1.0120596000000002,2.2572819500000008,517.3690963329282,1054.12903141696,1751219,4372985,64,114,64,114,-50,15,0,0,0,15,15,0,4,4,0,11,11,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,-8,0,8,-44,27,71,-4,0,4
matio.cve-2019-20018,0,8235014f-f029-42d8-b6ab-726713b928d9,9df11cd4-45d7-4cc5-8279-780fd58db500,1,1,1,0,0,0,1.7175702000000004,581.4338977092411,3974282,89,0,0,,,2.5035600500000004,0.7859898499999999,984.5399462091736,403.1060484999325,5226017,1251735,131,42,131,42,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,1,1,0,0,1,-1,7,8,1,50,78,28,7,9,2
matio.cve-2019-9032,0,136142d7-84d6-4feb-9b60-a589e7b7e053,97636943-8d22-4cb8-af51-a872245257ef,1,1,1,0,0,0,-0.5315515499999997,56.871288208058104,-1000801,-39,18,0,,,1.0817418,1.6132933499999997,829.0778501660097,772.2065619579516,1769259,2770060,82,121,82,121,-39,18,0,0,0,18,18,0,4,4,0,12,12,0,2,2,0,1,1,0,1,1,0,1,1,0,1,1,0,-4,1,5,-28,38,66,0,0,0
matio.cve-2019-9035,0,7b4f38fe-5b94-4436-a912-c8a02503f529,073980c1-d8e0-4e42-bb4e-3b844c716d57,1,1,1,0,0,0,0.9963861499999991,457.0800513327122,176966,71,14,1,,,2.483542999999999,1.48715685,1225.4076639998239,768.3276126671117,2846947,2669981,176,105,176,105,71,14,0,1,0,15,15,0,4,4,0,9,9,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,7,10,3,39,107,68,4,6,2
matio.cve-2019-9036,0,321b94d5-1338-44e4-b7a4-aa7af6ab322c,11ca45ad-6f4f-4ed4-967c-4fa98e1757f4,1,1,1,0,0,0,1.2068564999999998,860.6634962500539,2216883,54,16,0,,,1.8776328999999996,0.6707763999999999,1270.6695007500239,410.00600449997,3267302,1050419,110,56,110,56,54,16,0,0,0,16,16,0,4,4,0,11,11,0,1,1,0,1,1,0,0,1,-1,1,1,0,0,1,-1,7,8,1,32,64,32,3,3,0
matio.cve-2019-9037,0,4ff157a5-983e-4150-934a-93f902f6c1de,72e111ec-0362-47b0-a129-baddb21543c1,1,1,1,0,0,0,0.5611612999999995,179.03857416682877,1146282,33,0,0,,,1.3347411999999996,0.7735799000000001,658.8113354169764,479.7727612501476,2430325,1284043,83,50,83,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,12,42,30,2,2,0
matio.cve-2020-19497,0,ecf40144-648b-49c3-a73e-83fcd2751bab,4866a416-d4f8-4428-9892-1e3c80d7b7a3,1,1,1,0,0,0,1.4246497500000004,852.7425090421457,3714492,94,15,0,,,2.7015329500000003,1.2768831999999999,1415.1426667501219,562.4001577079762,6039730,2325238,169,75,169,75,94,15,0,0,0,15,15,0,4,4,0,11,11,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,59,99,40,3,3,0
md4c.cve-2018-11545,0,08e32fb5-32de-4dd0-bd70-607765a949c5,63a7709c-9400-4674-aae4-c341178e04cc,1,1,1,0,0,0,-0.9358484999999993,-271.1280233329162,-2041217,-38,0,0,,,0.6650490000000001,1.6008974999999994,335.2435957090929,606.3716190420091,944373,2985590,53,91,53,91,-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,-3,1,4,-22,32,54,3,3,0
md4c.cve-2020-26148,0,3a83ace4-5a31-4758-9db7-28090e15d4d9,59411179-86ea-482c-9dd5-e4e9e279df2e,1,1,0,0,0,1,0.25607970000000013,-897.8045690001454,663430,-12,0,0,,inactivity_timeout,1.4092904499999999,1.1532107499999997,597.9232556249481,1495.7278246250935,2702258,2038828,78,90,78,90,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3,6,3,3,61,58,-7,0,7
md4c.cve-2021-30027,0,328c9476-ad50-430d-8924-d6c9da1a6d98,2c3631a6-5ad3-4c70-b1c6-e1f7f2bbf3a1,1,0,1,0,0,-1,-0.8045126999999999,572.4013255827595,-1956634,-59,0,0,inactivity_timeout,,1.4468063000000002,2.251319,1344.2833307918627,771.8820052091032,2821302,4777936,96,155,96,155,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,1,0,1,0,0,0,-7,6,13,-32,62,94,2,3,1
mruby.cve-2018-10199,0,ea77b6f5-ced4-4c41-80f0-4df66736646d,2aa115aa-3ec5-4371-a432-954d91bef447,1,1,1,0,0,0,0.06764459999999994,145.07540358207189,139260,15,16,0,,,0.7848988499999999,0.71725425,809.589822415961,664.5144188338891,1243170,1103910,68,53,68,53,15,16,0,0,0,16,16,0,4,4,0,11,11,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,2,29,27,0,0,0
mruby.cve-2018-11743,0,5ab0c4a2-27ca-42aa-a5e6-3a4f6497b030,012d27fb-9ba8-49ae-b074-f74d4120bbac,1,1,1,0,0,0,-0.6141839499999988,151.3576001250185,-1633800,2,13,0,,,2.1536172500000004,2.767801199999999,1378.8665967080742,1227.5089965830557,4599896,6233696,151,149,151,149,2,13,0,0,0,13,13,0,4,4,0,8,8,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,-2,10,12,-9,105,114,9,12,3
mruby.cve-2018-12247,0,d4b46983-fba0-43d2-83a7-ca41388bec49,26b6c9f5-1d15-4ae3-8981-4ae018cf03ee,1,0,1,0,0,-1,-0.89606925,570.8910376669373,-2213038,-25,0,0,inactivity_timeout,,0.89132615,1.7873954,1506.8230070418213,935.9319693748839,1626715,3839753,66,91,66,91,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-5,1,6,-32,35,67,-2,0,2
mruby.cve-2018-12248,0,83b594ff-2789-4247-9c01-a3af4976ae83,3bc84293-97da-4e7f-80a7-db9432190a38,1,1,1,0,0,0,1.1512522,877.5772608330008,2826470,41,16,0,,,2.0511654,0.8999132,1374.5480726668611,496.97081183386035,4261303,1434833,97,56,97,56,41,16,0,0,0,16,16,0,4,4,0,11,11,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,-2,0,2,14,48,34,0,1,1
mruby.cve-2018-12249,0,9c112a73-4ca7-430c-a097-cf9255484983,23ce365b-6558-454e-b4f7-953d7f863bd2,1,1,1,0,0,0,1.4929377500000007,401.7415267066099,3310107,92,16,0,,,2.0962681500000007,0.6033303999999998,1023.4798734157812,621.7383467091713,4262614,952507,145,53,145,53,92,16,0,0,0,16,16,0,4,4,0,11,11,0,1,1,0,1,1,0,0,1,-1,1,1,0,0,1,-1,7,8,1,27,63,36,9,9,0
mruby.cve-2018-14337,0,c5d2aa4b-c47a-466a-8d4f-deb5c897374c,d9b80cd6-5a5a-4859-b0c5-95ba2b4aa1d0,1,1,1,0,0,0,-0.6370082000000001,-526.4959082079586,-1552409,-21,12,0,,,1.2547380000000004,1.8917462000000005,688.9222683750559,1215.4181765830144,2465183,4017592,86,107,86,107,-21,12,0,0,0,12,12,0,4,4,0,8,8,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,-3,1,4,-13,48,61,0,0,0
mruby.cve-2022-0240,0,6360daf6-05b6-4cec-89c1-5dbc30bdbc3c,2a861e97-818c-4821-88a4-77f4ac591774,1,1,0,0,0,1,-1.451155200000001,-1654.1373257499654,-3248812,-102,0,0,,inactivity_timeout,0.8950355,2.346190700000001,462.9392701671459,2117.0765959171113,1568648,4817460,71,173,71,173,-102,16,16,0,0,0,16,16,0,4,4,0,11,11,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,-9,1,10,-58,29,87,-2,0,2
mruby.cve-2022-0326,0,8236eee9-7ad7-4f97-a20e-87957120df63,062a13c8-9bdb-441c-b46f-c0a0ea0167c1,1,1,1,0,0,0,0.5270018999999997,331.0401641668286,1173485,43,3,0,,,1.7070533999999997,1.1800515,852.1014542919584,521.0612901251297,3304682,2131197,129,86,129,86,43,15,12,0,0,3,15,12,0,4,4,3,11,8,0,0,0,1,1,0,0,1,-1,1,1,0,0,1,-1,0,7,7,33,82,49,11,11,0
mruby.cve-2022-0570,0,091e1981-98e2-486f-bdda-a4ecf81f5e87,c9b7c098-ba52-4a18-9875-bf85115f17f7,1,1,1,0,0,0,0.6065816999999998,209.30594562506303,1357932,47,18,0,,,1.2961344499999998,0.68955275,601.1953050000593,391.8893593749963,2386895,1028963,102,55,102,55,47,18,0,0,0,18,18,0,4,4,0,12,12,0,2,2,0,1,1,0,1,1,0,1,1,0,1,1,0,5,11,6,24,55,31,0,0,0
mruby.cve-2022-0614,0,c2e814b8-cd92-4426-b332-4c578d24d07a,854c73d6-a971-4a42-9d06-bb3f150fb980,1,1,1,0,0,0,-0.37041899999999983,-240.4961373761762,-355700,-6,16,0,,,1.8375092000000002,2.2079282,946.1788545828313,1186.6749919590075,3692147,4047847,112,118,112,118,-6,16,0,0,0,16,16,0,4,4,0,11,11,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,2,7,5,19,77,58,0,1,1
mruby.cve-2022-0623,0,b56be8e7-63e6-4d9d-ab5e-14f8d93f05e2,1740a8b1-f062-4345-93eb-9b20cfa6172c,1,0,1,1,0,-1,0.3966022,318.4483335830737,923025,38,18,0,provider_failure,,1.42219155,1.02558935,1097.4995862911455,779.0512527080718,2751950,1828925,122,84,122,84,38,18,0,0,0,18,18,0,4,4,0,12,12,0,2,2,0,1,1,0,1,1,0,1,1,0,0,1,-1,-1,5,6,19,70,51,0,1,1
mruby.cve-2022-0630,0,3241c2d8-dd74-4647-90d0-3370e913c589,96b2bc25-ec2b-4d89-a412-03c129ceabb1,1,1,1,0,0,0,-0.5985713500000007,181.28334858291782,-1627392,7,2,0,,,1.5245335999999998,2.1231049500000005,1119.648115708027,938.3647671251092,2865147,4492539,123,116,123,116,7,16,14,0,0,2,16,14,0,4,4,3,11,8,-1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,-2,6,8,-4,58,62,1,1,0
mruby.cve-2022-0631,0,ce7dfb1f-c86a-4b00-846e-9b3383628b9e,821ac5c2-4595-459f-89fd-d67c420f1bb1,1,1,1,0,0,0,0.26415330000000004,362.8482756263111,653577,20,5,0,,,1.05157275,0.78741945,1118.8984353342094,756.0501597078983,1947738,1294161,83,63,83,63,20,17,12,0,0,5,17,12,0,4,4,4,12,8,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,4,1,18,48,30,0,0,0
mruby.cve-2022-0717,0,bd8466a6-85ef-4ad0-a955-3628d3db7a39,ebda492b-c9f8-4c1e-973c-5396363a4633,1,1,1,0,0,0,-1.2922452,-599.9377674169373,-2875419,-55,13,0,,,1.1979552500000001,2.49020045,671.7134294160642,1271.6511968330014,2239457,5114876,103,158,103,158,-55,13,0,0,0,13,13,0,4,4,0,8,8,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,-11,5,16,-21,69,90,1,2,1
mruby.cve-2022-0890,0,243ed616-3414-4c76-aca7-62f55016c821,5d78c0b3-fd1c-4234-a0ed-ca7d9c19c385,1,1,1,0,0,0,0.24753179999999975,-255.11111904098652,1119855,14,13,0,,,2.1731184499999996,1.9255866499999998,878.5192212089896,1133.6303402499761,4556292,3436437,154,140,154,140,14,13,0,0,0,13,13,0,4,4,0,8,8,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,4,11,7,5,95,90,-3,3,6
mruby.cve-2022-1201,0,a3955052-d346-4657-90c1-1d524302fdbf,3046e7d9-0575-47d2-a5e7-43b10c19e1ab,1,1,1,0,0,0,1.026493,241.5807815422304,2597661,56,0,0,,,1.69484235,0.66834935,648.1222951670643,406.5415136248339,3640342,1042681,111,55,111,55,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,1,1,0,0,1,-1,8,13,5,22,54,32,3,3,0
mruby.cve-2022-1212,0,f25eaaae-1c9f-4422-af6b-c64f3d027899,29a9cf82-c56d-4abf-a457-0300317e682a,1,1,1,0,0,0,-0.09264265000000016,-38.919168333755806,-357705,-20,0,0,,,1.5008848,1.59352745,749.8464727080427,788.7656410417985,2761999,3119704,93,113,93,113,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,8,7,-39,49,88,-2,3,5
mruby.cve-2022-1276,0,6ba7011f-6236-4906-aed5-8515c7157ea6,b01047ae-1979-460b-afb1-e030ef695a5c,1,1,1,0,0,0,0.7777565999999998,172.81135391700082,1711631,36,1,0,,,1.7260784999999998,0.9483219,852.1685685000848,679.357214583084,3326129,1614498,121,85,121,85,36,13,12,0,0,1,13,12,0,4,4,0,8,8,1,1,0,1,1,0,0,1,-1,1,1,0,0,1,-1,1,5,4,18,70,52,14,14,0
mruby.cve-2022-1286,0,3d42d29a-0080-4673-b519-f64c65f2a558,9c9c6fd3-2130-4c34-9244-77290bca15f1,1,1,1,0,0,0,0.4941356999999986,181.55456420895644,558903,12,0,0,,,2.303600449999999,1.8094647500000003,961.6389262920711,780.0843620831147,4355701,3796798,116,104,116,104,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,1,1,0,0,1,-1,3,8,5,21,95,74,10,10,0
mruby.cve-2022-1427,0,78bfa9f1-1926-4bfb-a590-28c904ea1242,a186cc65-b9c7-471b-8db6-07cb17bbdb4a,1,0,0,1,1,0,0.0,3.4011326669715345,0,0,0,0,work_error,work_error,0.0,0.0,11.595123500097543,8.193990833126009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mruby.cve-2022-1934,0,654aa16c-8c40-401f-abe3-7e7b1627dd9e,1a83b170-f5b8-4a32-ab7a-ac33ae21fc31,1,0,0,1,1,0,0.0,1.1913194998633116,0,0,0,0,work_error,work_error,0.0,0.0,9.077828916953877,7.886509417090565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
njs.cve-2019-13617,0,4cba0571-c3e1-4672-9e50-9c4ee36494e9,a29682f5-9d08-47c6-9e7c-85eca4baf83a,0,1,0,0,0,1,,,,94,16,0,,,1.6702498,,696.6029409579933,,3409870,,94,0,94,0,94,16,0,0,0,16,16,0,4,4,0,11,11,0,1,1,0,1,1,0,0,1,-1,1,1,0,0,0,0,5,5,0,58,58,0,5,5,0
njs.cve-2020-24348,0,11be3a4f-65c1-45aa-af4b-99984da70473,dc571bb6-2c9f-45a5-aa8f-f31a7acffcce,0,0,1,0,0,-1,,,,-130,0,0,,,,2.294987049999999,,1260.489093417069,,4746866,0,130,0,130,-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,1,0,1,0,0,0,-3,0,3,-84,0,84,-2,0,2
njs.cve-2021-46462,0,d8bf18d3-b3af-4329-918a-792080051926,c74a2268-2491-4b70-928d-5db36084f654,1,1,1,0,0,0,0.6689844499999995,188.84533770894632,1555677,13,2,0,,,1.6122899999999996,0.94330555,780.502804374788,591.6574666658416,3082898,1527221,98,85,98,85,13,18,16,0,0,2,18,16,0,4,4,1,12,11,1,2,1,1,1,0,1,1,0,1,1,0,1,1,0,1,5,4,2,46,44,0,0,0
njs.cve-2022-27007,0,d8094420-6f97-4d68-84a1-e80c0ab0b9a3,3aa29160-0b55-47a6-936c-c558286d8001,1,1,1,0,0,0,0.9321267,319.6911118749995,2136598,31,1,0,,,2.2124334,1.2803067000000001,865.7685914998874,546.0774796248879,4526353,2389755,119,88,119,88,31,16,15,0,0,1,16,15,0,4,4,0,11,11,1,1,0,1,1,0,0,1,-1,1,1,0,0,1,-1,5,9,4,35,78,43,12,12,0
njs.cve-2022-28049,0,4f371824-ad5e-4f19-9d4f-1c5886f1e617,928ab779-6a4a-40c9-9613-64e6a60d11ed,1,1,1,0,0,0,-0.4097212499999998,-222.95689620799385,-181668,21,0,0,,,0.7777177500000003,1.1874390000000001,380.5908132919576,603.5477094999515,1067933,1249601,71,50,71,50,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,19,47,28,0,0,0
njs.cve-2022-29369,0,4b8eed06-a35b-4f79-9817-32a94912b50c,41aad091-83d7-4887-9497-140c871c2214,1,1,1,0,0,0,0.5480661499999986,-157.73430766584352,1359777,30,20,0,,,2.6334689499999993,2.0854028000000007,835.3468186249956,993.0811262908392,5830323,4470546,156,126,156,126,30,32,12,0,0,20,32,12,4,8,4,15,23,8,1,1,0,1,1,0,0,1,-1,1,1,0,0,1,-1,2,8,6,6,88,82,9,10,1
njs.cve-2022-29779,0,a87179e0-d061-415e-8c21-223991bc1f98,a1d680c2-1eae-4a02-be68-fc8d575cfb4d,1,1,1,0,0,0,-0.19239930000000105,-104.47377566690557,-355933,14,15,0,,,1.6273546499999991,1.8197539500000002,621.1679853750393,725.6417610419448,3434600,3790533,115,101,115,101,14,15,0,0,0,15,15,0,4,4,0,11,11,0,0,0,0,1,1,0,0,1,-1,1,1,0,0,1,-1,-1,6,7,-15,67,82,1,3,2
njs.cve-2022-29780,0,591cd67f-f236-4c69-adb4-623e073d1db9,bf8a35d4-5cd7-44f3-a9a1-0de76640bc87,1,1,1,0,0,0,-0.1286719999999999,6.379730332875624,-409167,6,13,0,,,0.8655849499999999,0.9942569499999998,513.7296252909582,507.3498949580826,1423897,1833064,71,65,71,65,6,13,0,0,0,13,13,0,4,4,0,8,8,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,-3,1,4,-12,31,43,0,0,0
njs.cve-2022-31306,0,3384d460-61cd-4cc3-a631-667d4fae7d7d,8f81b790-b14e-4037-8e6f-416801e2f0d7,1,1,1,0,0,0,0.8029317500000005,218.4870836250484,1931861,49,0,0,,,1.5890938000000006,0.7861620500000001,650.3409197921865,431.85383616713807,3266806,1334945,103,54,103,54,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-1,1,1,0,0,1,-1,11,12,1,31,61,30,1,1,0
njs.cve-2022-31307,0,a49d1630-54ed-4aaa-b42e-95a352488133,6649a27a-18ba-477e-accc-697f07c0cad8,1,1,0,0,1,1,0.46725894999999995,276.5990676248912,766069,20,7,0,,provider_failure,1.3699352499999997,0.9026762999999998,710.6870431250427,434.0879755001515,2464969,1698900,102,82,102,82,20,17,10,0,0,7,17,10,0,4,4,5,11,6,2,2,0,1,1,0,1,0,1,1,0,1,1,0,1,-3,2,5,18,61,43,0,3,3
njs.cve-2022-32414,0,7a113952-9a68-49ee-aad7-8ec82a5d4d90,6b8780d2-9f82-4d13-8e89-69d98abf70f4,1,1,0,0,1,1,0.3181495500000002,206.48091725097038,1490264,65,0,0,,provider_failure,1.2664114000000002,0.94826185,700.1288641670253,493.64794691605493,2306915,816651,101,36,101,36,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,-3,5,8,41,62,21,0,0,0
njs.cve-2022-34029,0,87de8aac-a1d1-429c-a6b4-bb0d6c8a6a45,9c8c91cd-9a27-4010-8b05-e737edc4aed6,1,1,0,0,0,1,0.5837393999999996,-341.5506906667724,1509616,15,16,0,,inactivity_timeout,1.2669734999999995,0.6832341,644.7056281671394,986.2563188339118,2558915,1049299,86,71,86,71,15,16,0,0,0,16,16,0,4,4,0,11,11,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,-4,1,5,6,40,34,0,0,0
njs.cve-2022-38890,0,1fe9d85d-53ed-48a3-a7c4-5ec25d3209fb,ee8ba8ab-6b64-4291-9a47-69aca92d1ca9,1,1,0,0,1,1,1.2993448999999997,750.9227395411581,2441326,87,0,0,,provider_failure,1.7529312999999997,0.45358640000000006,1024.9923945411574,274.06965499999933,3129225,687899,130,43,130,43,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,2,3,1,49,74,25,2,2,0
njs.cve-2022-43284,0,6327bfa8-03e7-4ece-80a9-01c67bb5cfa4,0865766b-a68b-4249-b014-8f9767706968,1,1,0,0,1,1,2.3682676499999995,745.4402215420268,5476716,176,0,0,,provider_failure,2.4833594499999996,0.11509180000000001,804.1344800421502,58.6942585001234,5593589,116873,187,11,187,11,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,7,1,124,132,8,34,34,0
njs.cve-2023-27727,0,20f002ec-d3a5-4057-960b-3fdb7ba55a9c,191e7aff-32af-4e39-9b42-229293895df7,1,0,0,1,1,0,0.0,0.41618141694925725,0,0,0,0,work_error,work_error,0.0,0.0,11.621974583016708,11.205793166067451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
njs.cve-2023-27728,0,62057cd9-675f-4cb3-8708-e689d0ac60ee,29b5f954-8acf-4a45-9eb6-9dc0581c1483,1,0,0,1,1,0,0.0,0.3878113329410553,0,0,0,0,work_error,work_error,0.0,0.0,11.369559957878664,10.981748624937609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
njs.cve-2023-27730,0,a59f1613-aff0-48c0-9997-67ab7c55df18,48dfbca1-98c5-46de-ae28-a3ef0646c7b0,1,0,0,1,1,0,0.0,0.8468214580789208,0,0,0,0,work_error,work_error,0.0,0.0,11.498251999961212,10.651430541882291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openexr.cve-2020-16587,0,60035cb0-63b1-4870-b00f-0f98b9ba5c6d,266e43f0-196a-4eb4-b691-a6ca3bd44043,1,1,1,0,0,0,-0.25668789999999964,-154.46324308402836,-593193,-24,15,0,,,0.7856733000000001,1.0423611999999998,517.6354756250512,672.0987187090795,1225292,1818485,67,91,67,91,-24,15,0,0,0,15,15,0,4,4,0,11,11,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,-1,0,1,-29,29,58,-1,0,1
openexr.cve-2020-16588,0,02f3264a-ad57-4cc2-bc4f-64b23807b64e,08c8e4d2-537a-40a9-bf8e-6d6a315fdcc1,1,1,1,0,0,0,-1.0656991500000002,-259.07896504108794,-2252336,-45,15,0,,,1.0994956000000002,2.1651947500000004,733.605018167058,992.683983208146,1967884,4220220,76,121,76,121,-45,15,0,0,0,15,15,0,4,4,0,11,11,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,-11,1,12,-28,35,63,-10,2,12
openexr.cve-2020-16589,0,4a2850ee-41cf-43d8-b830-795115575164,4c15757b-59a7-454c-9d23-5782c9f60c58,1,0,1,0,0,-1,,-297.6972306249663,,-119,0,0,inactivity_timeout,,,1.98133475,615.4627568330616,913.1599874580279,,3857722,3,122,3,122,-119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,-1,0,0,0,-5,1,6,-85,0,85,-9,0,9
openjpeg.cve-2016-10507,0,f52347b5-3be0-449d-aadb-9a17aa11170f,f690dfdb-ff2c-4764-9c4b-28fd0c301e05,1,1,1,0,0,0,0.3022574,31.254906499991193,758461,30,16,0,,,1.05751185,0.75525445,496.0561001249589,464.8011936249677,1836351,1077890,87,57,87,57,30,16,0,0,0,16,16,0,4,4,0,11,11,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,13,46,33,-2,0,2
openjpeg.cve-2016-7445,0,664785de-a919-41f7-aefe-8d5d13b5ca1f,4b5ee1df-fa46-4ad8-aac8-3f36be8529ec,1,1,1,0,0,0,0.08358699999999997,423.0660584170837,341269,12,0,0,,,0.6999862499999999,0.61639925,830.3113281249534,407.24526970786974,1164036,822767,63,51,63,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,2,3,1,8,35,27,0,0,0
openjpeg.cve-2017-14041,0,a73b768e-c0c9-4c9e-bc8d-f976a6d1e57f,ded9253b-eada-4287-9727-26fcf7535206,1,1,1,0,0,0,0.16425435,-2.218776582973078,417964,15,16,0,,,0.8303068499999999,0.6660524999999999,434.3689429999795,436.58771958295256,1374592,956628,65,50,65,50,15,16,0,0,0,16,16,0,4,4,0,11,11,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,5,27,22,0,0,0
openjpeg.cve-2021-3575,0,0244bb6a-ad36-4bd2-a885-40a8d7c98855,9ef59953-2f53-47fe-aaa0-da2cd0b80b99,1,1,1,0,0,0,-0.1820258499999996,96.74143924913369,-923618,-6,0,0,,,1.7262697499999997,1.9082955999999993,900.0650195830967,803.323580333963,2816399,3740017,107,113,107,113,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,8,7,17,72,55,1,12,11
